FantasyPros.com , ,,,,,,,,,,,,
NBA Overall 2015 Projections , ,,,,,,,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,,,,,,,
,,,,,,,,,,,,,
Player Name ,Position ,Team , PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Tim Frazier,PG,POR,1,1,1,0,0,0.333,0.268,0,1,1,1
Jarnell Stokes,PF,MEM,1,1,0,0,0,0.5,0,0,0,3,0
Jimmer Fredette,"PG,SG",FA,1,0,0,0,0,0.429,0,0,0,2,0
JaMychal Green,PF,MEM,1,1,0,0,0,0.5,0.333,0,1,2,0
Adreian Payne,PF,MIN,1,1,0,0,0,0.479,0.25,0,1,2,0
Matt Bonner,"PF,C",SAS,1,0,0,0,0,0.5,0,0,0,2,0
Walter Tavares,C,ATL,1,0,0,0,0,0.5,0,0,0,2,0
Cady Lalanne,PF,FA,1,0,0,0,0,0.6,0,0,0,2,0
Andrew Nicholson,PF,ORL,1,0,0,0,0,0.429,0,0,0,2,0
E'Twaun Moore,"PG,SG",CHI,1,0,0,0,0,0.375,0,0,1,2,0
Justin Holiday,"SG,SF",ATL,1,0,0,0,0,0.5,0,0,1,2,0
James Michael McAdoo,SG,GSW,1,0,0,0,0,0.5,0,0,1,2,0
Darrun Hilliard,SG,DET,1,0,0,0,0,0.4,0,0,0,1,0
Luc Mbah a Moute,"SF,PF",LAC,1,0,0,0,0,0.4,0,0,0,2,0
Rakeem Christmas,PF,IND,1,0,0,0,0,0.5,0,0,0,1,0
Ian Clark,"PG,SG",GSW,1,0,0,0,0,0.5,0,0,0,1,0
Nick Johnson,SG,FA,1,0,0,0,0,0.333,0,0,0,2,0
Andrew Harrison,PG,FA,1,0,0,0,0,0.4,0,0,0,1,0
Lamar Patterson,SG,ATL,1,0,0,0,0,0.429,0,0,1,2,0
Bobby Portis,PF,CHI,1,0,0,0,0,0.5,0,0,1,1,0
Tyler Harvey,SG,FA,0,0,0,0,0,0.25,0,0,0,1,0
Kyle Anderson,SF,SAS,0,0,0,0,0,0.429,0,0,1,1,0
C.J. Wilcox,SG,LAC,0,0,0,0,0,0.5,0,0,0,1,0
Shayne Whittington,C,IND,0,0,0,0,0,0.5,0,0,0,1,0
Brandon Rush,SG,GSW,0,0,0,0,0,0.4,0,0,1,1,0
James Anderson,"SG,SF",SAC,0,0,0,0,0,0,0,0,1,1,0
Pat Connaughton,SG,POR,0,0,0,0,0,0.333,0,0,0,1,0
Branden Dawson,SF,LAC,0,0,0,0,0,0.5,0,0,0,1,0
Joey Dorsey,"PF,C",FA,0,1,0,0,0,0.5,0,0,0,2,0
Cameron Bairstow,"PF,C",CHI,0,0,0,0,0,0.5,0,0,1,1,0
Jordan Adams,SG,MEM,0,0,0,0,0,0,0,0,1,0,0
Phil Pressey,PG,PHI,0,0,0,0,0,0,0,0,1,0,0
