pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
PF,Mitch McGary,11/30/2015,OKC,ATL,3500,3.96,11.3,-2,-0.33,8.25,3.96
SF,Moe Harkless,11/30/2015,POR,LAC,3600,13.18,31,1.2,5.79,20.56,13.175
PF,Montrezl Harrell,11/30/2015,HOU,DET,3500,7.65,22.6,-0.8,0.82,14.48,7.65
PF,Nick Collison,11/30/2015,OKC,ATL,3500,9.31,18.9,-1,2.95,15.66,9.305
C,Nikola Jokic,11/30/2015,DEN,MIL,4000,16.25,47.4,1,4.84,27.66,16.25
SF,Nikola Mirotic,11/30/2015,CHI,SAS,5900,23.24,38.5,6.3,12.9,33.59,23.245
PF,Noah Vonleh,11/30/2015,POR,LAC,3500,7.88,12.7,1,4.27,11.49,7.88
SG,O.J. Mayo,11/30/2015,MIL,DEN,3600,16.32,27.3,9.7,10.61,22.03,16.32
SF,Omri Casspi,11/30/2015,SAC,DAL,4200,20.63,35.9,9.1,13.51,27.75,20.63
PG,Pablo Prigioni,11/30/2015,LAC,POR,3600,6.75,19.3,1,-0.65,14.15,6.75
SG,Pat Connaughton,11/30/2015,POR,LAC,3500,1.73,5,-1,-0.75,4.21,1.73
PG,Patrick Beverley,11/30/2015,HOU,DET,3600,12.48,22.6,0.5,5.98,18.98,12.48
PG,Patty Mills,11/30/2015,SAS,CHI,3800,15.62,31.7,4.7,8.1,23.15,15.625
PF,Pau Gasol,11/30/2015,CHI,SAS,7600,32.48,45.8,18.4,25.34,39.62,32.48
PF,Paul Millsap,11/30/2015,ATL,OKC,8600,38.32,54.7,20.6,30.43,46.21,38.32
SF,Paul Pierce,11/30/2015,LAC,POR,3500,11,24.1,-1,3.78,18.22,11
PF,Quincy Acy,11/30/2015,SAC,DAL,3500,6.06,17.9,1.2,0.74,11.39,6.065
PG,Rajon Rondo,11/30/2015,SAC,DAL,8300,37.99,57.6,18.2,24.84,51.13,37.985
SG,Randy Foye,11/30/2015,DEN,MIL,3500,8.93,18.7,-1,3.2,14.66,8.93
SG,Rashad Vaughn,11/30/2015,MIL,DEN,3500,4.77,13.4,-1,0.64,8.89,4.765
SF,Rasual Butler,11/30/2015,SAS,CHI,3500,7.54,17.4,1,1.98,13.1,7.54
PG,Raulzinho Neto,11/30/2015,UTA,GSW,3500,11.86,25.2,2.4,5.97,17.76,11.865
PG,Ray McCallum,11/30/2015,SAS,CHI,3500,3.73,10.6,0.5,0.36,7.11,3.735
PG,Raymond Felton,11/30/2015,DAL,SAC,3700,15.25,31.8,5.4,7.45,23.06,15.255
SF,Reggie Bullock,11/30/2015,DET,HOU,3500,0.97,2.4,-1,-0.33,2.28,0.975
PG,Reggie Jackson,11/30/2015,DET,HOU,7500,32.69,55.5,17.7,23.85,41.53,32.69
SG,Rodney Hood,11/30/2015,UTA,GSW,4800,21.78,29.5,16.2,17.39,26.17,21.78
SF,Rudy Gay,11/30/2015,SAC,DAL,7100,29.78,49,5.8,20.65,38.91,29.78
C,Rudy Gobert,11/30/2015,UTA,GSW,7100,28.29,35.2,13,21.31,35.27,28.29
PG,Russell Westbrook,11/30/2015,OKC,ATL,11000,51.61,71.2,15.8,38.81,64.42,51.615
C,Salah Mejri,11/30/2015,DAL,SAC,3500,3.67,7.6,1.2,0.86,6.48,3.67
SF,Sam Dekker,11/30/2015,HOU,DET,3500,3.2,3.2,3.2,3.2,3.2,3.2
PF,Serge Ibaka,11/30/2015,OKC,ATL,6400,27.18,41.4,12.1,18.84,35.51,27.175
SG,Seth Curry,11/30/2015,SAC,DAL,3500,6.57,11.2,1,2.98,10.15,6.565
PG,Shaun Livingston,11/30/2015,GSW,UTA,3500,11.17,15.8,5.2,8.75,13.59,11.17
PG,Shelvin Mack,11/30/2015,ATL,OKC,3500,10.12,19.3,0.4,3.36,16.87,10.115
PG,Spencer Dinwiddie,11/30/2015,DET,HOU,3500,8.04,12.2,1.2,4.19,11.89,8.04
SF,Stanley Johnson,11/30/2015,DET,HOU,3500,14.33,28.4,2,7.51,21.16,14.335
PG,Stephen Curry,11/30/2015,GSW,UTA,10900,48.94,77.3,33.7,37.91,59.97,48.94
PG,Steve Blake,11/30/2015,DET,HOU,3700,10.18,24.1,0.5,4.56,15.79,10.175
SF,Steve Novak,11/30/2015,OKC,ATL,3500,4.2,4.2,4.2,4.2,4.2,4.2
C,Steven Adams,11/30/2015,OKC,ATL,4200,17.51,27.6,4.4,11.15,23.87,17.51
PF,Taj Gibson,11/30/2015,CHI,SAS,4200,16.64,36.7,1.2,8.19,25.09,16.64
PF,Terrence Jones,11/30/2015,HOU,DET,5600,21.18,37.7,7.8,10.96,31.4,21.18
PG,Terry Rozier,11/30/2015,BOS,MIA,3500,4.34,10.7,-0.8,0.88,7.8,4.34
SF,Thabo Sefolosha,11/30/2015,ATL,OKC,4200,18.81,38.9,10.8,12.34,25.29,18.815
C,Tiago Splitter,11/30/2015,ATL,OKC,3500,12.38,19.9,4,7.61,17.16,12.385
C,Tibor Pleiss,11/30/2015,UTA,GSW,3500,3.1,3.2,3,3,3.2,3.1
C,Tim Duncan,11/30/2015,SAS,CHI,7000,28.71,46.2,13,19.8,37.62,28.71
PG,Tim Frazier,11/30/2015,POR,LAC,3500,3.4,6.7,1.4,1.35,5.45,3.4
SG,Tim Hardaway Jr.,11/30/2015,ATL,OKC,3500,5,6.4,3,3.64,6.36,5
PG,Tony Parker,11/30/2015,SAS,CHI,5500,23.38,37.9,9.3,15.81,30.94,23.375
SG,Tony Snell,11/30/2015,CHI,SAS,3500,11.39,21.2,1.2,6,16.77,11.385
SF,Trevor Ariza,11/30/2015,HOU,DET,5900,24.53,33.8,14.9,18.6,30.45,24.525
PF,Trevor Booker,11/30/2015,UTA,GSW,4000,14.46,43.5,5.6,3.52,25.41,14.465
PG,Trey Burke,11/30/2015,UTA,GSW,4500,16.34,29.1,-1,8.07,24.62,16.345
PF,Trey Lyles,11/30/2015,UTA,GSW,3500,5.92,12.1,1.4,2.55,9.29,5.92
