name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary,Actual,Difference
Julius Randle,PF,LAL,BKN,21.1,16.76,5700,27.9,11.14
Channing Frye,PF,ORL,TOR,23.8,14.73,3600,7.6,-7.13
Marreese Speights,C,GS,DEN,15,15.3,3800,10.2,-5.1
Otto Porter,SF,WSH,BOS,25,15.16,5500,15.7,0.54
J.J. Hickson,C,DEN,GS,17,14.61,3900,6.2,-8.41
Alexis Ajinca,C,NO,ATL,17.9,16.63,3500,10.4,-6.23
Hollis Thompson,SF,PHI,CLE,24.2,14.29,3800,22.1,7.81
Tristan Thompson,PF,CLE,PHI,22.4,18.84,5200,16.2,-2.64
Gary Harris,SG,DEN,GS,25.4,15.6,4000,23.6,8
Shaun Livingston,PG,GS,DEN,20.7,16.43,3600,8.8,-7.63
Derrick Williams,SF,NY,MIL,17.8,10.41,4200,18.2,7.79
Festus Ezeli,C,GS,DEN,21.5,19.42,3800,30.4,10.98
Shabazz Napier,PG,ORL,TOR,22.2,14.1,3500,15.4,1.3
James Johnson,SF,TOR,ORL,18.1,15.17,3500,0,-15.17
Jason Thompson,C,GS,DEN,19.7,16.79,4600,1.2,-15.59
Chris Copeland,PF,MIL,NY,16.9,10.02,3500,3.9,-6.12
Tarik Black,C,LAL,BKN,19.7,15.88,4000,14.2,-1.68
Caron Butler,SF,SAC,HOU,18.2,10.92,3500,0,-10.92
Anthony Tolliver,PF,DET,PHX,21.1,11.91,3800,11.2,-0.71
Shane Larkin,PG,BKN,LAL,20.3,14.27,4100,1.7,-12.57
Aaron Gordon,SF,ORL,TOR,20.2,13.29,4100,10.8,-2.49
P.J. Tucker,SF,PHX,DET,21.3,13.21,4300,21,7.79
Clint Capela,C,HOU,SAC,16.2,15.11,4500,36.4,21.29
Steve Blake,PG,DET,PHX,21.2,15.57,3500,11.2,-4.37
Dante Cunningham,SF,NO,ATL,21.9,11.85,4000,13.1,1.25
Sergey Karasev,SF,BKN,LAL,18.5,12.54,3500,0,-12.54
Kevin Seraphin,C,NY,MIL,19.1,14.34,3500,1.2,-13.14
JaKarr Sampson,SG,PHI,CLE,17.8,10.95,3700,8.4,-2.55
Dewayne Dedmon,C,ORL,TOR,21.6,14.91,3700,21.3,6.39
Thabo Sefolosha,SG,ATL,NO,20.3,13.65,4100,0,-13.65
Thomas Robinson,C,BKN,LAL,14.5,13.15,4100,16.4,3.25
Chris Andersen,C,MIA,IND,18.5,13.44,3500,0,-13.44
Ian Mahinmi,C,IND,MIA,21.3,15.14,4500,21.2,6.06
Wayne Ellington,SG,BKN,LAL,12.7,8.67,3600,3.2,-5.47
Mike Scott,PF,ATL,NO,12.8,8.09,3500,10.9,2.81
Aron Baynes,C,DET,PHX,13.9,10.48,3500,7.5,-2.98
Udonis Haslem,PF,MIA,IND,15.5,10.72,3500,0,-10.72
Anderson Varejao,C,CLE,PHI,12.4,11.27,3500,3,-8.27
Bismack Biyombo,C,TOR,ORL,14.9,13.13,3800,9.2,-3.93
Alex Len,C,PHX,DET,15.2,10.96,4100,10.4,-0.56
Mirza Teletovic,PF,PHX,DET,8,5.52,3500,4.2,-1.32
Miles Plumlee,C,MIL,NY,9.5,7.75,3500,3.2,-4.55
Archie Goodwin,SG,PHX,DET,4.6,3.3,3500,0,-3.3
Joel Anthony,C,DET,PHX,6,4.21,3500,0,-4.21
James Jones,SF,CLE,PHI,4.1,2.7,3500,9.8,7.1
C.J. Watson,PG,ORL,TOR,5,3.5,3600,22.5,19
Darrell Arthur,PF,DEN,GS,5.2,3.55,3500,11.1,7.55
Alonzo Gee,SF,NO,ATL,4.8,3.09,3500,1.2,-1.89
Lance Thomas,PF,NY,MIL,5.1,2.89,3500,7.4,4.51
Robert Sacre,C,LAL,BKN,4.1,3.18,3500,0,-3.18
Glenn Robinson III,PF,IND,MIA,4.2,2.72,3500,10.9,8.18
Cleanthony Early,SF,NY,MIL,3.7,2.32,3500,0,-2.32
Garrett Temple,SG,WSH,BOS,3.1,2.53,3500,5.2,2.67
Cory Jefferson,PF,PHX,DET,2.8,2.29,3500,0,-2.29
Donald Sloan,PG,BKN,LAL,3.1,2.11,3500,0,-2.11
Drew Gooden,PF,WSH,BOS,2.9,2.29,3600,0,-2.29
James Michael McAdoo,PF,GS,DEN,2.1,2.07,3500,8.9,6.83
Ronnie Price,PG,PHX,DET,3.2,1.86,3500,12.2,10.34
Jon Leuer,PF,PHX,DET,2.5,1.87,3600,7.3,5.43
Jonas Jerebko,PF,BOS,WSH,2.9,1.9,3500,13.4,11.5
Jason Terry,PG,HOU,SAC,2.3,1.64,3500,2.2,0.56
Mike Muscala,PF,ATL,NO,2.5,1.89,3500,0,-1.89
Justin Holiday,SG,ATL,NO,2.3,1.56,3600,6.9,5.34
Shelvin Mack,PG,ATL,NO,2.2,1.59,3500,0,-1.59
Damien Inglis,SF,MIL,NY,2.3,1.33,3500,0,-1.33
James Ennis,SF,MIA,IND,2.6,1.63,3500,0,-1.63
Chase Budinger,SF,IND,MIA,2.5,1.46,3600,3.2,1.74
Louis Amundson,C,NY,MIL,2.6,1.57,3500,0,-1.57
Anthony Bennett,PF,TOR,ORL,2,1.47,3500,7.2,5.73
Andrew Nicholson,PF,ORL,TOR,2.2,1.23,3500,0,-1.23
Spencer Dinwiddie,PG,DET,PHX,1.8,0.87,3500,0,-0.87
Shayne Whittington,C,IND,MIA,1.2,0.76,3500,0,-0.76
Tyler Ennis,PG,MIL,NY,2,1.09,3500,12.3,11.21
Brandon Rush,SG,GS,DEN,1.3,0.59,3500,0,-0.59
Josh McRoberts,PF,MIA,IND,1.4,0.59,3500,15.9,15.31
Joe Harris,SG,CLE,PHI,1.3,0.47,3500,1.2,0.73
,,,,,,,,-286.92
,,,,,,,,-1.4346
