name,pos,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Chris Paul","PG","LAC","HOU","36.4","41.14","9400"
"Adreian Payne","PF","MIN","CHI","3.7","2.19","3500"
"Elfrid Payton","PG","ORL","PHI","29.8","25.29","6700"
"Paul Pierce","SF","LAC","HOU","21.4","15.5","3900"
"Tibor Pleiss","C","UTAH","MEM","3.5","2.09","3500"
"Miles Plumlee","C","MIL","BKN","13.6","8.94","3500"
"Otto Porter","SF","WSH","ATL","31.3","17.82","5500"
"Bobby Portis","PF","CHI","MIN","2","1.63","3700"
"Dwight Powell","PF","DAL","NO","24.7","21.54","4500"
"Pablo Prigioni","PG","LAC","HOU","0.1","0","3500"
"Tayshaun Prince","SF","MIN","CHI","20.5","12.28","3500"
"Zach Randolph","PF","MEM","UTAH","29.7","27.68","6800"
"J.J. Redick","SG","LAC","HOU","31.6","23.38","4800"
"Austin Rivers","PG","LAC","HOU","19.1","13.39","3500"
"Brian Roberts","PG","CHA","SA","4","2.43","3500"
"Thomas Robinson","PF","BKN","MIL","15","12.67","4100"
"Rajon Rondo","PG","SAC","GS","28.8","23.72","6100"
"Derrick Rose","PG","CHI","MIN","31.5","29.34","7100"
"Ricky Rubio","PG","MIN","CHI","32.1","25.33","7500"
"Brandon Rush","SG","GS","SAC","1.4","0.71","3500"
"JaKarr Sampson","SF","PHI","ORL","14.2","9.23","3700"
"Dennis Schroder","PG","ATL","WSH","25.2","23.58","4600"
"Mike Scott","SF","ATL","WSH","14.4","10.4","3500"
"Ramon Sessions","PG","WSH","ATL","20.5","14.89","4000"
"Donald Sloan","PG","BKN","MIL","3","1.74","3500"
"Josh Smith","PF","LAC","HOU","14","9.59","4200"
"Jason Smith","PF","ORL","PHI","11.2","9.04","3600"
"Russ Smith","PG","MEM","UTAH","2.6","1.96","3500"
"Tony Snell","SG","CHI","MIN","21.8","12.3","3500"
"Marreese Speights","PF","GS","SAC","16","17.48","3800"
"Tiago Splitter","C","ATL","WSH","20.3","17.12","4000"
"Nik Stauskas","SG","PHI","ORL","31.7","19.25","3900"
"Lance Stephenson","SG","LAC","HOU","24.1","18.8","3500"
"Jarnell Stokes","PF","MEM","UTAH","1.7","1.35","3500"
"Walter Tavares","C","ATL","WSH","1.4","0.76","3500"
"Jeff Teague","PG","ATL","WSH","32.4","33.07","7400"
"Garrett Temple","PG","WSH","ATL","1.2","0.47","3500"
"Jason Terry","PG","HOU","LAC","16.6","9.91","3500"
"Jason Thompson","PF","GS","SAC","6.8","6.37","4600"
"Klay Thompson","SG","GS","SAC","33.7","31.3","6800"
"Hollis Thompson","SF","PHI","ORL","26.5","16.7","3800"
"Marcus Thornton","SG","HOU","LAC","31.6","21.33","4100"
