name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Gorgui Dieng","PF","MIN","MIA","27","0","23.39"
"Zach LaVine","PG","MIN","MIA","26.5","0","17.87"
"Tayshaun Prince","SF","MIN","MIA","27.5","0","16.88"
"Rudy Gobert","C","UTAH","DEN","29.4","0","26.75"
"Zaza Pachulia","C","DAL","CHA","26.3","0","21.84"
"Mason Plumlee","C","POR","MEM","23.8","0","18.66"
"Tony Snell","SF","CHI","OKC","26.2","0","15.1"
"Cody Zeller","C","CHA","DAL","24.3","0","17.59"
"Doug McDermott","SF","CHI","OKC","23.4","0","14.59"
"Devin Harris","PG","DAL","CHA","25.1","0","16.5"
"Meyers Leonard","PF","POR","MEM","29.4","0","19.3"
"Gary Harris","SG","DEN","UTAH","24.9","0","16.17"
"Juan Jose Barea","PG","DAL","CHA","20.1","0","15.28"
"Taj Gibson","PF","CHI","OKC","19.7","0","15.61"
"Al-Farouq Aminu","SF","POR","MEM","24.7","0","16.89"
"Trevor Booker","PF","UTAH","DEN","22.1","0","17.2"
"Steven Adams","C","OKC","CHI","27.4","0","20.86"
"Marvin Williams","PF","CHA","DAL","25.3","0","16.27"
"Dion Waiters","SG","OKC","CHI","22.7","0","15.11"
"Jeremy Lamb","SG","CHA","DAL","18.3","0","13.26"
"Beno Udrih","PG","MEM","POR","16.8","0","13.18"
"Jameer Nelson","PG","DEN","UTAH","24.6","0","16.31"
"Matt Barnes","SF","MEM","POR","24.4","0","14.49"
"John Jenkins","SG","DAL","CHA","17.8","0","12"
"D.J. Augustin","PG","OKC","CHI","15.9","0","12.61"
"Chris Andersen","C","MIA","MIN","22.3","0","18.98"
"Brandan Wright","C","MEM","POR","22.9","0","17.99"
"Ed Davis","PF","POR","MEM","24.3","0","17.94"
"Kyle Singler","SF","OKC","CHI","22.6","0","12.46"
"Tony Allen","SF","MEM","POR","24.6","0","16.5"
"Tyler Johnson","PG","MIA","MIN","20.3","0","14.48"
"Anthony Morrow","SG","OKC","CHI","17.8","0","11.34"
"Vince Carter","SF","MEM","POR","17","0","10.13"
"Will Barton","SG","DEN","UTAH","18.9","0","12.47"
"Jeff Withey","C","UTAH","DEN","14.2","0","12.67"
"Charlie Villanueva","PF","DAL","CHA","11.7","0","10.37"
"Spencer Hawes","PF","CHA","DAL","15.5","0","11.95"
"Andre Miller","PG","MIN","MIA","17.2","0","11.82"
"Kirk Hinrich","PG","CHI","OKC","21.7","0","11.51"
"Joakim Noah","C","CHI","OKC","21.3","0","15.84"
"Raymond Felton","PG","DAL","CHA","13.2","0","9.6"
"Udonis Haslem","PF","MIA","MIN","17.2","0","11.84"
"Justin Anderson","SF","DAL","CHA","11.2","0","8.09"
"Andre Roberson","SG","OKC","CHI","19.9","0","12.22"
"Allen Crabbe","SG","POR","MEM","13.3","0","7.72"
"Joffrey Lauvergne","C","DEN","UTAH","12.9","0","9.06"
"Joe Ingles","SF","UTAH","DEN","11.3","0","8.65"
"Mitch McGary","PF","OKC","CHI","12.6","0","9"
"Frank Kaminsky","PF","CHA","DAL","9.8","0","6.64"
"Nick Collison","C","OKC","CHI","18.8","0","11.79"
"Maurice Harkless","SF","POR","MEM","15.4","0","7.67"
"Justise Winslow","SF","MIA","MIN","10.7","0","6.72"
"Trey Lyles","PF","UTAH","DEN","8.8","0","6.37"
"Samuel Dalembert","C","DAL","CHA","15.5","0","9.57"
"Jeremy Evans","SF","DAL","CHA","10","0","6.58"
"Brian Roberts","PG","CHA","DAL","5.3","0","3.15"
"Darrell Arthur","PF","DEN","UTAH","4.4","0","2.82"
"Amar'e Stoudemire","C","MIA","MIN","3.3","0","3.03"
"E'Twaun Moore","SG","CHI","OKC","5.4","0","3.39"
"Jarell Martin","PF","MEM","POR","4.1","0","2.34"
"Russ Smith","SG","MEM","POR","3.1","0","2.18"
"Nick Johnson","PG","DEN","UTAH","3.3","0","1.88"
"Dwight Powell","PF","DAL","CHA","2.9","0","2.29"
"JaVale McGee","C","DAL","CHA","3","0","2.41"
"Luis Montero","","POR","MEM","3.5","0","1.92"
"Tim Frazier","PG","POR","MEM","3.8","0","2.63"
"Tibor Pleiss","","UTAH","DEN","3.7","0","1.9"
"Josh Richardson","SG","MIA","MIN","2.4","0","1.73"
"JaMychal Green","SF","MEM","POR","2.7","0","1.89"
"Troy Daniels","SG","CHA","DAL","2.7","0","1.41"
"James Ennis","SF","MIA","MIN","3.8","0","2.12"
"Elijah Millsap","SG","UTAH","DEN","2.5","0","1.61"
"Phil Pressey","PG","UTAH","DEN","2.9","0","1.64"
"Adreian Payne","PF","MIN","MIA","3.6","0","1.99"
"Steve Novak","PF","OKC","CHI","2.3","0","1.41"
"Bryce Cotton","PG","UTAH","DEN","1.5","0","1.02"
"Jarnell Stokes","PF","MEM","POR","1.7","0","1.18"
"Salah Mejri","C","DAL","CHA","1.6","0","1.01"
"Tyus Jones","PG","MIN","MIA","1.6","0","1.01"
"Jordan Adams","SG","MEM","POR","1.5","0","0.87"
"Josh McRoberts","PF","MIA","MIN","1.7","0","1.23"
"Pat Connaughton","SG","POR","MEM","1.1","0","0.79"
"Nikola Jokic","C","DEN","UTAH","1.3","0","0.81"
"Tyler Hansbrough","PF","CHA","DAL","1.1","0","0.64"
"Bobby Portis","PF","CHI","OKC","1.1","0","0.79"
"Cameron Payne","PG","OKC","CHI","1.3","0","0.89"
"Noah Vonleh","PF","POR","MEM","1.4","0","0.71"
"Jack Cooley","PF","UTAH","DEN","1.2","0","0.76"
"Olivier Hanlan","PG","UTAH","DEN","0.1","0","0.1"
"Cameron Bairstow","C","CHI","OKC","0.5","0","0.1"
"Jusuf Nurkic","C","DEN","UTAH","0","0","0"
"Mike Miller","SF","DEN","UTAH","0.1","0","0"
"Wilson Chandler","SF","DEN","UTAH","0","0","0"
"Nemanja Bjelica","SF","MIN","MIA","0.1","0","0"
"Damjan Rudez","SF","MIN","MIA","0.1","0","0"
"Nikola Pekovic","C","MIN","MIA","0","0","0"
"Mike Dunleavy","SF","CHI","OKC","0","0","0"
