Name,Position,Team,Opp,RG_def_pos_pts_48,NF_Min,FD_FP,FD_FS
Tayshaun Prince,SF,MIN,CHI,1.04351,20.5,12.28,3500
J.J. Redick,SG,LAC,HOU,0.78809,31.6,23.38,4800
Austin Rivers,PG,LAC,HOU,0.946701,19.1,13.39,3500
Thomas Robinson,PF,BKN,MIL,0.975139,15,12.67,4100
Derrick Rose,PG,CHI,MIN,0.765781,31.5,29.34,7100
Ricky Rubio,PG,MIN,CHI,0.935625,32.1,25.33,7500
Brandon Rush,SG,GS,SAC,0.815208,1.4,0.71,3500
JaKarr Sampson,SF,PHI,ORL,0.706563,14.2,9.23,3700
Ramon Sessions,PG,WSH,ATL,0.761399,20.5,14.89,4000
Donald Sloan,PG,BKN,MIL,0.87375,3,1.74,3500
Josh Smith,PF,LAC,HOU,1.11639,14,9.59,4200
Jason Smith,PF,ORL,PHI,0.994042,11.2,9.04,3600
Tony Snell,SG,CHI,MIN,0.814375,21.8,12.3,3500
Marreese Speights,PF,GS,SAC,1.04837,16,17.48,3800
Nik Stauskas,SG,PHI,ORL,0.751528,31.7,19.25,3900
Lance Stephenson,SG,LAC,HOU,0.78809,24.1,18.8,3500
Garrett Temple,PG,WSH,ATL,0.761399,1.2,0.47,3500
Jason Terry,PG,HOU,LAC,0.944792,16.6,9.91,3500
Jason Thompson,PF,GS,SAC,1.04837,6.8,6.37,4600
Klay Thompson,SG,GS,SAC,0.815208,33.7,31.3,6800
Hollis Thompson,SF,PHI,ORL,0.706563,26.5,16.7,3800
Marcus Thornton,SG,HOU,LAC,0.748542,31.6,21.33,4100
Karl-Anthony Towns,C,MIN,CHI,1.03517,30.7,23.97,6400
Greivis Vasquez,PG,MIL,BKN,0.913125,22.6,16.81,4300
Rashad Vaughn,SG,MIL,BKN,0.78934,2.6,1.58,3500
John Wall,PG,WSH,ATL,0.761399,37,37.4,9500
C.J. Watson,PG,ORL,PHI,0.916667,4.8,3.18,3600
David West,PF,SA,CHA,0.945625,11.7,7.88,4000
Andrew Wiggins,SF,MIN,CHI,1.04351,33.1,23.62,6700
C.J. Wilcox,SG,LAC,HOU,0.78809,1.1,0.67,3500
Christian Wood,PF,PHI,ORL,0.891285,1.3,0.79,3500
Thaddeus Young,PF,BKN,MIL,0.975139,32,21.98,5600
