pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Marvin Williams","2015-11-16","CHA","POR","5200","25.17","35.4","15.8","19.49","30.84","25.165"
"C","Mason Plumlee","2015-11-16","POR","CHA","5500","24.96","37.2","12.8","17.29","32.63","24.96"
"SF","Matt Barnes","2015-11-16","MEM","MIN","3500","15.15","23.7","1.9","8.15","22.15","15.15"
"SF","Metta World Peace","2015-11-16","LAL","DET","3500","14.48","20.5","5.6","9.24","19.72","14.48"
"C","Meyers Leonard","2015-11-16","POR","CHA","4400","16.94","28.1","4.6","9.25","24.64","16.945"
"PG","Mike Conley","2015-11-16","MEM","MIN","6300","26","37.4","11.9","19.07","32.93","26"
"PF","Mike Muscala","2015-11-16","ATL","UTA","3500","6.95","11.4","0.2","2.82","11.08","6.95"
"SF","Mike Scott","2015-11-16","ATL","UTA","3500","8.03","13.8","4.7","5.25","10.81","8.03"
"PF","Mitch McGary","2015-11-16","OKC","BOS","3500","3.85","11.3","-2","-0.94","8.64","3.85"
"SF","Moe Harkless","2015-11-16","POR","CHA","3500","14.27","31","1.5","7","21.54","14.27"
"SF","Nemanja Bjelica","2015-11-16","MIN","MEM","4700","22.23","39.7","14.1","14.67","29.8","22.235"
"PF","Nick Collison","2015-11-16","OKC","BOS","3600","6.93","18.6","-1","0.29","13.58","6.935"
"SG","Nick Young","2015-11-16","LAL","DET","3600","14.66","29.9","7.6","7.16","22.15","14.655"
"SF","Nicolas Batum","2015-11-16","CHA","POR","6900","30","42.6","17.7","22.72","37.28","30"
"PF","Noah Vonleh","2015-11-16","POR","CHA","3500","6.14","12.7","1","2.73","9.54","6.135"
"SG","Norman Powell","2015-11-16","TOR","SAC","3500","6.33","15.3","1.2","0.91","11.74","6.325"
"C","Omer Asik","2015-11-16","NOP","NYK","3800","9.3","13.4","3.2","5.55","13.05","9.3"
"SF","Omri Casspi","2015-11-16","SAC","TOR","4100","19.4","30.3","9.1","12.58","26.22","19.4"
"SF","P.J. Hairston","2015-11-16","CHA","POR","3500","9.11","16","5.5","5.56","12.67","9.115"
"SG","Pat Connaughton","2015-11-16","POR","CHA","3500","1.73","5","-1","-0.75","4.21","1.73"
"PF","Patrick Patterson","2015-11-16","TOR","SAC","3700","12.64","20.9","7.2","7.47","17.81","12.64"
"PF","Paul Millsap","2015-11-16","ATL","UTA","8200","37.35","45.4","20.6","30.69","44.02","37.355"
"PF","Quincy Acy","2015-11-16","SAC","TOR","3500","5.88","10.6","2.7","2.62","9.13","5.875"
"PG","Rajon Rondo","2015-11-16","SAC","TOR","7500","35.87","56","18.2","21.94","49.8","35.87"
"PG","Raulzinho Neto","2015-11-16","UTA","ATL","3600","10.17","18.7","2.4","4.73","15.6","10.165"
"SF","Reggie Bullock","2015-11-16","DET","LAL","3500","0.7","2.4","-1","-1","2.4","0.7"
