name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Shaun Livingston","PG","GS","LAC","24","0","16.41"
"Aaron Gordon","SF","ORL","HOU","21.6","0","20.32"
"Austin Rivers","SG","LAC","GS","19.5","0","11.95"
"Kosta Koufos","PF","SAC","PHX","20.4","0","18.32"
"Nik Stauskas","SG","PHI","MIL","25.7","0","12.83"
"David West","PF","SA","WSH","15.7","0","14.28"
"Trey Lyles","PF","UTAH","POR","18.8","0","11.04"
"Patrick Patterson","PF","TOR","OKC","20.9","0","15.38"
"Mike Scott","PF","ATL","BKN","15.1","0","12"
"Shane Larkin","PG","BKN","ATL","24.8","0","15.71"
"Jerami Grant","SG","PHI","MIL","25.2","0","15.09"
"Chris Copeland","PF","MIL","PHI","23.3","0","13.03"
"Caron Butler","SF","SAC","PHX","21.1","0","13.75"
"Mitch McGary","PF","OKC","TOR","17.1","0","14.5"
"Kyle Singler","SF","OKC","TOR","24","0","12.9"
"Anthony Morrow","SG","OKC","TOR","14.7","0","9.8"
"Thomas Robinson","C","BKN","ATL","16.4","0","15.03"
"Cory Joseph","PG","TOR","OKC","17.1","0","12.92"
"Kevin Seraphin","C","NY","CLE","17.1","0","13.84"
"Anderson Varejao","C","CLE","NY","16.5","0","12.85"
"Patrick Mills","PG","SA","WSH","17.1","0","10.74"
"Richard Jefferson","SF","CLE","NY","17.2","0","10.41"
"Matthew Dellavedova","PG","CLE","NY","21.5","0","12.86"
"Sergey Karasev","SF","BKN","ATL","20.4","0","12.3"
"Marreese Speights","C","GS","LAC","9.9","0","9.25"
"Steven Adams","C","OKC","TOR","20.5","0","15.79"
"Joe Ingles","SF","UTAH","POR","23.4","0","13.08"
"Josh Smith","PF","LAC","GS","12.7","0","11.68"
"Lance Stephenson","SF","LAC","GS","17.1","0","11.63"
"Jerian Grant","PG","NY","CLE","19.2","0","11.14"
"Markel Brown","SG","BKN","ATL","17.2","0","9.48"
"Cole Aldrich","C","LAC","GS","19.1","0","14.83"
"Allen Crabbe","SG","POR","UTAH","14.7","0","9.5"
"Otto Porter","SF","WSH","SA","18.5","0","11.11"
"Bismack Biyombo","C","TOR","OKC","20","0","14.92"
"Ian Mahinmi","C","IND","BOS","19.4","0","13.1"
"Kyle O'Quinn","PF","NY","CLE","18","0","12.46"
"Leandro Barbosa","SG","GS","LAC","11.1","0","7.39"
"Miles Plumlee","C","MIL","PHI","13.8","0","10.94"
"Dewayne Dedmon","C","ORL","HOU","15","0","12.55"
"Ronnie Price","PG","PHX","SAC","13.4","0","10.92"
"James Young","SG","BOS","IND","12.7","0","7.31"
"Shabazz Napier","PG","ORL","HOU","11.6","0","8.3"
"Maurice Harkless","SF","POR","UTAH","13.8","0","7.74"
"Devin Booker","SG","PHX","SAC","8.4","0","5.84"
"Channing Frye","PF","ORL","HOU","10.3","0","7.85"
"Cleanthony Early","SF","NY","CLE","10.3","0","6.04"
"Roy Devyn Marble","SF","ORL","HOU","12.4","0","6.17"
"Jeff Withey","C","UTAH","POR","8.3","0","6.36"
"Andrew Nicholson","PF","ORL","HOU","6.2","0","4.93"
"Gerald Wallace","SF","PHI","MIL","9.8","0","5.96"
