Player_Name,FDFP
"Russell Westbrook","65.8"
"Ryan Anderson","43.9"
"Serge Ibaka","16.5"
"Shabazz Muhammad","6.4"
"Shabazz Napier","12.5"
"Shane Larkin","18.4"
"Shelvin Mack","19.3"
"Solomon Hill","12.5"
"Spencer Hawes","19.8"
"Steven Adams","4.4"
"Taj Gibson","13.4"
"Tayshaun Prince","9.1"
"Terrence Jones","14.4"
"Thabo Sefolosha","12.6"
"Thaddeus Young","40.1"
"Thomas Robinson","5.4"
"Tiago Splitter","14.7"
"Tim Duncan","46.2"
"Tim Frazier","6.7"
"TJ McConnell","22.7"
"Tobias Harris","28.2"
"Toney Douglas","10.5"
"Tony Parker","37.9"
"Tony Snell","1.2"
"Trevor Ariza","29.6"
"Trevor Booker","12"
"Trey Burke","17.2"
"Ty Lawson","3.5"
"Tyson Chandler","20.8"
"Victor Oladipo","10.6"
"Wayne Ellington","7.9"
"Wesley Matthews","24.9"
"Will Barton","25.3"
"Willie Cauley-Stein","6"
"Zach LaVine","19.1"
"Zaza Pachulia","30.9"
