name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Johnny O'Bryant III","PF","PF","MIL","TOR","19.8","12.19","0"
"Chris Andersen","FC","C","MIA","HOU","21.2","15.84","3500"
"Ryan Kelly","F","SF","LAL","DAL","16.9","10.57","4400"
"John Jenkins","GF","SG","DAL","LAL","12.4","9.82","3800"
"Spencer Hawes","FC","PF","CHA","ATL","17.1","12.21","3600"
"John Henson","FC","PF","MIL","TOR","19.3","14.56","4400"
"Andre Roberson","GF","SG","OKC","DEN","19.4","14.6","3500"
"James Johnson","F","SF","TOR","MIL","17.3","14.12","3500"
"Mario Chalmers","G","SG","MIA","HOU","15.7","11.24","3900"
"Mitch McGary","FC","PF","OKC","DEN","14.6","14.13","3500"
"Kirk Hinrich","G","PG","CHI","ORL","21.9","12.01","3500"
"Erick Green","G","PG","DEN","OKC","15","9.16","3500"
"Tyler Johnson","SG","PG","MIA","HOU","18.6","11.67","3500"
"Udonis Haslem","PF","PF","MIA","HOU","17.5","12.28","3500"
"Dewayne Dedmon","C","C","ORL","CHI","18.1","13.33","3700"
"Jason Smith","FC","PF","ORL","CHI","12.4","9.2","3800"
"Thabo Sefolosha","GF","SG","ATL","CHA","18.4","12.33","4200"
"Jeremy Evans","F","SF","DAL","LAL","12.4","10.74","3500"
"Doug McDermott","SF","SF","CHI","ORL","11.1","6.96","3800"
"James Young","SG","SG","BOS","SA","12.6","7.19","3500"
"Mario Hezonja","SG","SG","ORL","CHI","9.4","6.98","3800"
"Miles Plumlee","FC","C","MIL","TOR","15.8","10.35","3500"
"Justise Winslow","SF","SF","MIA","HOU","9.7","6.58","3700"
"Nick Collison","FC","C","OKC","DEN","15.3","10.3","3500"
"Roy Devyn Marble","GF","SF","ORL","CHI","13.2","6.92","3500"
"Samuel Dalembert","C","C","DAL","LAL","13","9.07","0"
"Justin Anderson","SF","SF","DAL","LAL","6.1","4.74","3500"
"C.J. Watson","PG","PG","ORL","CHI","6.8","4.97","3700"
"Jabari Brown","SG","SG","LAL","DAL","6.2","3.45","0"
"Frank Kaminsky","C","PF","CHA","ATL","6.3","3.73","4000"
"Boban Marjanovic","C","","SA","BOS","4.1","3.52","3500"
"Mike Muscala","FC","PF","ATL","CHA","4.7","3.52","3800"
"Robert Sacre","C","C","LAL","DAL","4.7","3.49","3500"
"Darrell Arthur","FC","PF","DEN","OKC","4.5","3.06","3500"
"Jared Sullinger","FC","C","BOS","SA","3","2.89","5000"
"Matt Bonner","FC","C","SA","BOS","3.8","2.3","3500"
"Marcelo Huertas","PG","PG","LAL","DAL","3.2","2.32","3500"
"Dwight Powell","PF","PF","DAL","LAL","2.9","2.61","3600"
"Brian Roberts","G","PG","CHA","ATL","3.4","2.13","3500"
"Marcus Thornton","SG","SG","HOU","MIA","2.1","1.71","3700"
"Jason Terry","G","PG","HOU","MIA","3.3","1.86","3500"
"Montrezl Harrell","PF","PF","HOU","MIA","3","1.85","3600"
"Jimmer Fredette","G","PG","SA","BOS","2.6","1.69","0"
"Salah Mejri","C","C","DAL","LAL","2.4","1.95","3500"
"Steve Novak","F","PF","OKC","DEN","2.3","1.51","3500"
"Amar'e Stoudemire","FC","C","MIA","HOU","1.9","1.6","3900"
"Jonas Jerebko","F","PF","BOS","SA","2.5","2.07","3500"
"Troy Daniels","PG","SG","CHA","ATL","2.8","1.24","3500"
"Anthony Brown","SF","SF","LAL","DAL","1.7","1.23","3500"
"Larry Nance Jr.","PF","PF","LAL","DAL","1.7","1.23","3500"
"JaVale McGee","C","C","DAL","LAL","1.7","1.55","3700"
"Nikola Jokic","C","C","DEN","OKC","1.6","1.23","3600"
"Nick Johnson","SG","PG","DEN","OKC","2.5","1.58","0"
"Joey Dorsey","FC","C","DEN","OKC","2.9","2.13","0"
"James Ennis","GF","SF","MIA","HOU","2.5","1.43","3500"
"Shelvin Mack","PG","PG","ATL","CHA","2","1.37","3500"
"Tyler Harvey","SG","SF","ORL","CHI","1.8","1.21","0"
"Andrew Nicholson","PF","PF","ORL","CHI","1.8","1.21","3500"
"E'Twaun Moore","G","SG","CHI","ORL","2","1.19","3500"
"Josh Richardson","SG","SG","MIA","HOU","1.7","1.21","3500"
"Josh McRoberts","FC","PF","MIA","HOU","2","1.53","3900"
"Jordan Mickey","PF","PF","BOS","SA","1.5","1.01","3500"
"Kyle Anderson","SF","SF","SA","BOS","2.4","1.33","3500"
"Lamar Patterson","SG","SG","ATL","CHA","1.5","1.11","3500"
"Dakari Johnson","C","C","OKC","DEN","1.1","1.01","0"
"Cameron Payne","PG","PG","OKC","DEN","1.1","1.01","3500"
"Norman Powell","SG","SG","TOR","MIL","1.3","0.76","3500"
"Delon Wright","PG","PG","TOR","MIL","1.3","0.76","3500"
"Rashad Vaughn","SG","SG","MIL","TOR","1.6","0.91","3700"
"Damien Inglis","SF","SF","MIL","TOR","1.8","0.91","3500"
"Anthony Bennett","F","PF","TOR","MIL","1.6","1.11","3500"
"Cady Lalanne","PF","PF","SA","BOS","1.6","1.11","0"
"R.J. Hunter","SG","SG","BOS","SA","1.5","0.91","3800"
"Terry Rozier","PG","PG","BOS","SA","1.5","0.91","3500"
"Perry Jones III","F","SF","BOS","SA","1.8","0.79","0"
"Walter Tavares","C","C","ATL","CHA","1.4","1.11","3500"
"Justin Holiday","GF","SG","ATL","CHA","2","0.97","3500"
"Jorge Gutierrez","PG","PG","MIL","TOR","1.8","1.04","0"
"Tyler Hansbrough","FC","PF","CHA","ATL","1.6","1.23","3500"
"Bobby Portis","PF","PF","CHI","ORL","0.6","0.42","3800"
"Cameron Bairstow","FC","C","CHI","ORL","1","0.44","3500"
"Reggie Williams","GF","SG","SA","BOS","1.1","0.42","0"
"Jusuf Nurkic","C","C","DEN","OKC","0","0","4000"
"Mike Miller","GF","SF","DEN","OKC","0.1","0","3500"
"Wilson Chandler","GF","SF","DEN","OKC","0","0","6200"
"Mike Dunleavy","GF","SF","CHI","ORL","0","0","4200"
"Bruno Caboclo","SF","SF","TOR","MIL","0.1","0","3500"
"Tyler Ennis","PG","PG","MIL","TOR","0","0","3500"
"Jabari Parker","F","SF","MIL","TOR","0","0","6200"
"Lucas Nogueira","C","C","TOR","MIL","0.1","0","3500"
"Sam Dekker","SF","SF","HOU","MIA","0.1","0","3500"
"Andre Dawkins","SG","SG","MIA","HOU","0.1","0","0"
"K.J. McDaniels","SF","SG","HOU","MIA","0.1","0","3500"
"Terrence Jones","F","PF","HOU","MIA","0","0","5700"
"Dwight Howard","FC","C","HOU","MIA","0","0","8200"
"Donatas Motiejunas","F","PF","HOU","MIA","0","0","6400"
"Dimitrios Agravanis","PF","","ATL","CHA","0","0","0"
"Michael Kidd-Gilchrist","SF","SG","CHA","ATL","0","0","0"
