"SG","Kobe Bryant","2015-11-20","LAL","TOR","7400","24.67","34.3","19.3","20.24","29.1","24.67"
"SF","Kostas Papanikolaou","2015-11-20","DEN","PHO","3500","6.9","13.7","0.2","1.81","11.99","6.9"
"PF","Kristaps Porzingis","2015-11-20","NYK","OKC","6000","26.26","43.2","13.7","17.57","34.95","26.26"
"SF","Kyle Anderson","2015-11-20","SAS","NOP","3500","8.69","29.9","2.7","0.83","16.55","8.69"
"PG","Kyle Lowry","2015-11-20","TOR","LAL","8600","38.42","54","22.3","29.66","47.17","38.415"
"C","Kyle O'Quinn","2015-11-20","NYK","OKC","3800","15.28","30.7","-1","6.31","24.25","15.28"
"SF","Kyle Singler","2015-11-20","OKC","NYK","3500","6.31","12.6","-1","1.77","10.85","6.31"
"PF","LaMarcus Aldridge","2015-11-20","SAS","NOP","7700","29.67","50.3","16.7","20.45","38.9","29.675"
"SG","Lance Stephenson","2015-11-20","LAC","POR","3600","11.65","22","-1","4.93","18.37","11.65"
"SF","Lance Thomas","2015-11-20","NYK","OKC","3500","8.74","20.6","0.2","2.44","15.04","8.74"
"SG","Langston Galloway","2015-11-20","NYK","OKC","4700","20.95","31.4","4","14.36","27.54","20.95"
"PF","Larry Nance","2015-11-20","LAL","TOR","3500","10","18.1","6.1","6.11","13.89","10"
"SG","Leandro Barbosa","2015-11-20","GSW","CHI","3600","11.89","18.5","8","8.63","15.15","11.89"
"PF","Lou Amundson","2015-11-20","NYK","OKC","3500","8.12","19.3","2","1.66","14.58","8.12"
"SG","Louis Williams","2015-11-20","LAL","TOR","4800","21.23","41","14.7","13.92","28.54","21.23"
"SF","Luc Richard Mbah a Moute","2015-11-20","LAC","POR","3500","5.43","13.4","1.5","0.75","10.1","5.425"
"C","Lucas Nogueira","2015-11-20","TOR","LAL","3500","3.5","5","2","2","5","3.5"
"SF","Luis Montero","2015-11-20","POR","LAC","3500","1.6","3","0.2","0.2","3","1.6"
"PF","Luis Scola","2015-11-20","TOR","LAL","4400","20.13","38.9","7.6","11.06","29.19","20.125"
"SF","Luke Babbitt","2015-11-20","NOP","SAS","3600","13.27","21.1","6.4","8.49","18.05","13.27"
"SG","Manu Ginobili","2015-11-20","SAS","NOP","4900","22.83","30.1","9.5","16.82","28.85","22.835"
"C","Marc Gasol","2015-11-20","MEM","HOU","7500","28.9","43.3","14.4","20.24","37.56","28.9"
"PG","Marcelo Huertas","2015-11-20","LAL","TOR","3500","9.9","16.1","1.7","5.58","14.22","9.9"
"SF","Marcus Morris","2015-11-20","DET","MIN","6000","27.33","38.3","11.4","19.3","35.36","27.33"
"PG","Marcus Smart","2015-11-20","BOS","BKN","5500","19.76","32.9","9.3","10.66","28.86","19.76"
